ORDER_ID,ORDER_DATE,CITY,VEHICLE_TYPE,DISTANCE_KM,DELIVERY_TIME_MIN,IS_ONTIME,DRIVER_RATING
ORD1110,2025-03-15,Delhi,Truck,54.7,101,No,4.1
ORD1111,2025-03-16,Mumbai,Bike,45.5,73,No,3.0
ORD1112,2025-03-21,Pune,Scooter,56.0,100,Yes,3.9
ORD1113,2025-03-04,Pune,Van,34.8,73,Yes,3.5
ORD1114,2025-03-27,Bengaluru,Bike,6.3,47,No,3.2
ORD1115,2025-03-24,Hyderabad,Bike,53.4,95,Yes,3.7
ORD1116,2025-03-16,Chennai,Truck,52.2,69,Yes,3.6
ORD1117,2025-03-14,Hyderabad,Bike,14.0,28,Yes,3.7
ORD1118,2025-03-22,Chennai,Truck,15.2,78,Yes,4.0
ORD1119,2025-03-22,Bengaluru,Truck,34.1,80,No,3.8
ORD1120,2025-03-17,Hyderabad,Bike,5.0,26,Yes,3.8
ORD1121,2025-03-18,Mumbai,Scooter,8.9,59,No,3.5
ORD1122,2025-03-06,Delhi,Truck,21.9,77,No,3.3
ORD1123,2025-03-10,Chennai,Bike,32.6,20,No,3.6
ORD1124,2025-03-04,Hyderabad,Bike,57.0,89,Yes,3.9
ORD1125,2025-03-01,Chennai,Truck,36.7,49,No,4.3
ORD1126,2025-03-06,Pune,Van,7.2,64,Yes,4.3
ORD1127,2025-03-01,Delhi,Van,36.6,40,No,3.5
ORD1128,2025-03-18,Bengaluru,Scooter,36.9,86,Yes,3.7
ORD1129,2025-03-19,Bengaluru,Bike,54.1,51,Yes,3.5
ORD1130,2025-03-05,Mumbai,Bike,16.9,71,Yes,4.2
ORD1131,2025-03-03,Mumbai,Scooter,32.7,108,No,4.7
ORD1132,2025-03-17,Bengaluru,Truck,19.1,46,No,4.9
ORD1133,2025-03-30,Chennai,Scooter,12.3,88,No,4.6
ORD1134,2025-03-04,Pune,Truck,43.8,111,No,4.4
ORD1135,2025-03-03,Chennai,Truck,44.7,41,Yes,3.3
ORD1136,2025-03-11,Chennai,Scooter,50.0,82,Yes,4.3
ORD1137,2025-03-14,Chennai,Van,15.5,85,No,5.0
ORD1138,2025-03-17,Delhi,Scooter,32.2,45,Yes,4.5
ORD1139,2025-03-08,Bengaluru,Van,28.1,89,Yes,4.6
ORD1140,2025-03-22,Hyderabad,Scooter,51.5,26,No,4.1
ORD1141,2025-03-10,Bengaluru,Scooter,37.5,18,No,4.9
ORD1142,2025-03-01,Mumbai,Bike,22.0,25,Yes,5.0
ORD1143,2025-03-11,Pune,Truck,56.8,97,No,4.9
ORD1144,2025-03-19,Chennai,Truck,33.1,65,No,4.7
ORD1145,2025-03-12,Pune,Van,50.3,62,No,4.3
ORD1146,2025-03-27,Pune,Truck,10.3,69,No,3.5
ORD1147,2025-03-24,Bengaluru,Bike,21.9,35,No,3.4
ORD1148,2025-03-28,Chennai,Van,44.6,54,No,4.7
ORD1149,2025-03-03,Pune,Truck,34.7,93,Yes,3.6
ORD1150,2025-03-26,Chennai,Truck,58.4,92,Yes,4.4
ORD1151,2025-03-03,Delhi,Truck,6.1,33,Yes,3.1
ORD1152,2025-03-04,Delhi,Scooter,2.6,39,No,4.8
ORD1153,2025-03-28,Chennai,Bike,57.4,69,Yes,4.9
ORD1154,2025-03-04,Bengaluru,Truck,20.7,81,No,4.7
ORD1155,2025-03-19,Pune,Van,7.1,29,Yes,4.1
ORD1156,2025-03-15,Hyderabad,Van,8.9,79,No,4.4
ORD1157,2025-03-04,Delhi,Van,51.7,15,Yes,4.0
ORD1158,2025-03-21,Hyderabad,Truck,27.6,52,No,4.3
ORD1159,2025-03-18,Hyderabad,Truck,19.3,54,Yes,3.8
ORD1160,2025-03-19,Chennai,Scooter,22.3,12,Yes,4.9
ORD1161,2025-03-28,Delhi,Van,51.5,53,Yes,3.7
ORD1162,2025-03-15,Chennai,Bike,27.3,25,Yes,3.9
ORD1163,2025-03-10,Delhi,Bike,28.4,111,No,4.2
ORD1164,2025-03-27,Mumbai,Scooter,3.9,63,No,3.2
ORD1165,2025-03-02,Bengaluru,Scooter,18.5,18,Yes,4.5
ORD1166,2025-03-05,Pune,Bike,18.8,66,No,3.3
ORD1167,2025-03-11,Mumbai,Truck,39.7,94,No,4.4
ORD1168,2025-03-23,Pune,Bike,55.6,86,Yes,3.3
ORD1169,2025-03-12,Bengaluru,Scooter,44.5,74,Yes,4.4
ORD1170,2025-03-09,Bengaluru,Bike,46.3,95,Yes,4.3
ORD1171,2025-03-12,Bengaluru,Bike,26.4,106,No,3.8
ORD1172,2025-03-03,Delhi,Van,16.1,12,Yes,3.6
ORD1173,2025-03-20,Delhi,Scooter,17.5,15,Yes,4.8
ORD1174,2025-03-17,Bengaluru,Scooter,19.2,41,No,4.4
ORD1175,2025-03-01,Mumbai,Bike,46.2,86,No,4.0
ORD1176,2025-03-23,Hyderabad,Truck,26.0,97,No,3.2
ORD1177,2025-03-01,Pune,Scooter,34.5,23,No,4.7
ORD1178,2025-03-07,Bengaluru,Truck,53.8,98,Yes,3.2
ORD1179,2025-03-20,Hyderabad,Truck,18.6,83,No,3.0
ORD1180,2025-03-15,Pune,Truck,57.6,63,Yes,4.6
ORD1181,2025-03-11,Mumbai,Bike,57.9,57,No,3.1
ORD1182,2025-03-20,Hyderabad,Van,27.0,21,No,4.6
ORD1183,2025-03-25,Delhi,Scooter,7.5,66,No,4.2
ORD1184,2025-03-29,Mumbai,Scooter,31.3,96,No,3.2
ORD1185,2025-03-09,Delhi,Truck,27.1,40,Yes,3.5
ORD1186,2025-03-14,Hyderabad,Van,27.3,84,No,4.7
ORD1187,2025-03-25,Chennai,Scooter,7.5,45,Yes,3.7
ORD1188,2025-03-30,Mumbai,Bike,47.3,96,No,4.0
ORD1189,2025-03-03,Pune,Scooter,45.7,118,No,4.9
ORD1190,2025-03-04,Chennai,Van,24.0,116,No,3.4
ORD1191,2025-03-03,Bengaluru,Scooter,4.7,30,Yes,4.4
ORD1192,2025-03-12,Chennai,Bike,29.3,61,No,4.2
ORD1193,2025-03-14,Delhi,Bike,2.5,73,Yes,3.5
ORD1194,2025-03-17,Delhi,Truck,14.6,42,Yes,4.9
ORD1195,2025-03-09,Hyderabad,Van,44.3,70,Yes,4.2
ORD1196,2025-03-09,Hyderabad,Truck,31.8,100,Yes,4.8
ORD1197,2025-03-20,Bengaluru,Van,55.3,36,No,3.6
ORD1198,2025-03-09,Delhi,Van,12.7,55,No,4.3
ORD1199,2025-03-27,Mumbai,Truck,31.3,82,Yes,3.1
ORD1200,2025-03-03,Pune,Truck,51.9,90,No,4.3
ORD1201,2025-03-25,Pune,Bike,56.4,24,Yes,4.3
ORD1202,2025-03-21,Bengaluru,Scooter,5.9,79,No,4.2
ORD1203,2025-03-04,Chennai,Van,50.3,55,No,4.0
ORD1204,2025-03-13,Mumbai,Truck,38.3,83,No,3.5
ORD1205,2025-03-30,Bengaluru,Bike,20.1,24,No,4.3
ORD1206,2025-03-15,Chennai,Scooter,4.0,101,Yes,4.3
ORD1207,2025-03-01,Mumbai,Scooter,35.9,93,No,4.5
ORD1208,2025-03-05,Hyderabad,Scooter,6.5,56,No,4.6
ORD1209,2025-03-04,Delhi,Van,40.1,60,Yes,3.2
ORD1210,2025-03-14,Chennai,Van,53.2,104,Yes,3.9
ORD1211,2025-03-12,Delhi,Bike,59.8,83,No,3.5
ORD1212,2025-03-29,Chennai,Van,8.1,45,No,4.9
ORD1213,2025-03-23,Delhi,Bike,20.0,19,Yes,4.5
ORD1214,2025-03-14,Pune,Bike,51.7,85,No,4.4
ORD1215,2025-03-26,Chennai,Van,52.4,112,No,4.4
ORD1216,2025-03-14,Delhi,Bike,19.0,89,No,3.8
ORD1217,2025-03-12,Pune,Van,47.6,67,Yes,3.9
ORD1218,2025-03-25,Hyderabad,Van,38.5,54,Yes,3.6
ORD1219,2025-03-17,Delhi,Van,24.6,52,No,3.9
ORD1220,2025-03-25,Pune,Truck,18.4,88,Yes,4.4
ORD1221,2025-03-30,Chennai,Truck,14.7,23,Yes,4.6
ORD1222,2025-03-22,Pune,Scooter,36.2,73,Yes,3.7
ORD1223,2025-03-15,Pune,Van,15.4,99,No,4.4
ORD1224,2025-03-26,Delhi,Van,33.5,96,Yes,4.5
ORD1225,2025-03-17,Delhi,Truck,4.1,94,No,4.1
ORD1226,2025-03-29,Bengaluru,Truck,58.2,100,Yes,4.4
ORD1227,2025-03-26,Chennai,Truck,2.1,104,Yes,3.9
ORD1228,2025-03-23,Pune,Scooter,7.3,41,Yes,3.3
ORD1229,2025-03-22,Delhi,Truck,57.0,63,Yes,3.0
ORD1230,2025-03-30,Chennai,Van,51.5,57,No,3.7
ORD1231,2025-03-20,Bengaluru,Van,33.2,106,No,4.7
ORD1232,2025-03-02,Chennai,Scooter,38.6,17,Yes,4.9
ORD1233,2025-03-09,Chennai,Truck,55.3,53,No,3.8
ORD1234,2025-03-01,Chennai,Bike,50.1,101,No,3.7
ORD1235,2025-03-05,Mumbai,Van,37.6,44,Yes,3.6
ORD1236,2025-03-28,Delhi,Bike,8.2,83,Yes,3.1
ORD1237,2025-03-28,Mumbai,Scooter,55.8,103,No,4.2
ORD1238,2025-03-26,Delhi,Van,8.9,29,No,3.9
ORD1239,2025-03-07,Delhi,Bike,11.4,72,Yes,5.0
ORD1240,2025-03-22,Bengaluru,Truck,21.9,35,Yes,4.2
ORD1241,2025-03-14,Mumbai,Truck,2.5,39,No,3.2
ORD1242,2025-03-08,Mumbai,Scooter,39.8,62,No,3.6
ORD1243,2025-03-25,Hyderabad,Van,11.1,54,Yes,3.9
ORD1244,2025-03-25,Bengaluru,Scooter,37.7,63,Yes,3.5
ORD1245,2025-03-16,Pune,Bike,33.6,53,No,4.5
ORD1246,2025-03-10,Delhi,Truck,16.7,28,No,3.7
ORD1247,2025-03-19,Delhi,Truck,9.4,35,No,3.6
ORD1248,2025-03-09,Hyderabad,Scooter,49.1,105,Yes,4.3
ORD1249,2025-03-23,Delhi,Truck,24.1,113,No,4.6
ORD1250,2025-03-16,Mumbai,Bike,15.8,31,Yes,3.1
ORD1251,2025-03-12,Pune,Van,40.1,76,No,3.3
ORD1252,2025-03-07,Hyderabad,Truck,34.5,35,No,5.0
ORD1253,2025-03-16,Hyderabad,Van,25.1,75,Yes,3.9
ORD1254,2025-03-30,Delhi,Van,52.5,108,Yes,4.4
ORD1255,2025-03-26,Delhi,Truck,43.5,94,No,3.3
ORD1256,2025-03-02,Hyderabad,Van,19.2,117,No,3.6
ORD1257,2025-03-23,Pune,Van,11.6,119,No,4.7
ORD1258,2025-03-13,Mumbai,Van,35.7,80,Yes,4.0
ORD1259,2025-03-25,Delhi,Scooter,26.6,92,No,3.5
ORD1260,2025-03-30,Delhi,Truck,55.1,25,Yes,3.7
ORD1261,2025-03-25,Hyderabad,Bike,45.9,98,Yes,3.7
ORD1262,2025-03-04,Bengaluru,Scooter,59.5,68,Yes,5.0
ORD1263,2025-03-19,Pune,Scooter,35.3,68,Yes,5.0
ORD1264,2025-03-16,Mumbai,Van,10.6,62,Yes,3.4
ORD1265,2025-03-04,Delhi,Scooter,41.0,104,No,3.9
ORD1266,2025-03-11,Pune,Truck,24.3,11,No,3.5
ORD1267,2025-03-13,Delhi,Truck,35.6,84,No,3.4
ORD1268,2025-03-07,Bengaluru,Truck,35.6,113,Yes,3.5
ORD1269,2025-03-04,Delhi,Van,10.7,23,Yes,3.2
ORD1270,2025-03-23,Chennai,Van,46.9,39,No,3.9
ORD1271,2025-03-30,Pune,Van,51.4,54,Yes,4.2
ORD1272,2025-03-06,Hyderabad,Truck,58.0,33,Yes,3.3
ORD1273,2025-03-24,Delhi,Truck,18.2,79,No,4.4
ORD1274,2025-03-12,Pune,Truck,37.6,76,Yes,3.3
ORD1275,2025-03-01,Chennai,Van,26.7,92,Yes,4.0
ORD1276,2025-03-12,Delhi,Truck,55.3,106,No,4.5
ORD1277,2025-03-09,Hyderabad,Scooter,49.9,99,Yes,4.0
ORD1278,2025-03-21,Chennai,Truck,34.1,79,No,4.1
ORD1279,2025-03-11,Chennai,Bike,37.0,25,No,4.3
ORD1280,2025-03-23,Hyderabad,Bike,14.0,112,No,4.2
ORD1281,2025-03-12,Bengaluru,Van,27.2,48,Yes,3.5
ORD1282,2025-03-06,Bengaluru,Scooter,29.3,61,No,3.9
ORD1283,2025-03-30,Hyderabad,Van,11.5,26,Yes,4.1
ORD1284,2025-03-29,Delhi,Bike,9.8,83,No,4.6
ORD1285,2025-03-16,Mumbai,Van,29.2,41,No,5.0
ORD1286,2025-03-09,Delhi,Truck,57.9,116,No,4.8
ORD1287,2025-03-03,Chennai,Scooter,22.4,119,Yes,3.6
ORD1288,2025-03-28,Mumbai,Truck,59.2,97,No,4.4
ORD1289,2025-03-20,Chennai,Truck,38.1,82,Yes,3.2
ORD1290,2025-03-26,Chennai,Truck,33.3,109,Yes,4.3
ORD1291,2025-03-24,Hyderabad,Scooter,50.9,34,No,4.8
ORD1292,2025-03-22,Pune,Scooter,34.4,73,No,3.3
ORD1293,2025-03-20,Bengaluru,Truck,3.5,103,No,4.5
ORD1294,2025-03-15,Bengaluru,Scooter,36.9,19,Yes,3.4
ORD1295,2025-03-21,Bengaluru,Bike,10.5,13,No,3.3
ORD1296,2025-03-22,Bengaluru,Van,9.6,20,Yes,4.4
ORD1297,2025-03-30,Mumbai,Truck,39.5,85,No,4.1
ORD1298,2025-03-04,Bengaluru,Truck,11.3,84,No,3.4
ORD1299,2025-03-04,Hyderabad,Scooter,11.4,47,No,4.9
ORD1300,2025-03-08,Delhi,Scooter,34.7,27,No,3.9
ORD1301,2025-03-10,Chennai,Scooter,15.8,104,No,3.1
ORD1302,2025-03-10,Delhi,Scooter,5.6,105,Yes,3.2
ORD1303,2025-03-10,Mumbai,Truck,54.8,107,Yes,3.1
ORD1304,2025-03-24,Hyderabad,Scooter,33.8,112,No,3.3
ORD1305,2025-03-04,Chennai,Truck,19.7,104,Yes,3.3
ORD1306,2025-03-15,Mumbai,Scooter,3.4,116,Yes,3.0
ORD1307,2025-03-27,Pune,Scooter,50.2,98,Yes,3.9
ORD1308,2025-03-19,Hyderabad,Van,53.0,76,No,3.3
ORD1309,2025-03-13,Chennai,Van,38.4,78,Yes,5.0
ORD1310,2025-03-04,Bengaluru,Scooter,23.4,96,No,3.3
ORD1311,2025-03-10,Chennai,Truck,33.4,114,No,4.0
ORD1312,2025-03-11,Mumbai,Bike,10.0,92,No,4.3
ORD1313,2025-03-28,Mumbai,Truck,32.3,45,Yes,4.4
ORD1314,2025-03-14,Pune,Van,8.6,39,Yes,3.7
ORD1315,2025-03-08,Chennai,Scooter,2.2,67,Yes,4.1
ORD1316,2025-03-08,Hyderabad,Van,35.3,44,No,4.1
ORD1317,2025-03-30,Hyderabad,Truck,28.7,94,No,4.8
ORD1318,2025-03-22,Bengaluru,Van,14.8,108,No,3.2
ORD1319,2025-03-02,Mumbai,Van,54.3,96,No,4.1
ORD1320,2025-03-13,Bengaluru,Scooter,29.7,26,No,3.6
ORD1321,2025-03-03,Bengaluru,Scooter,41.7,113,No,3.8
ORD1322,2025-03-03,Hyderabad,Van,3.8,67,No,3.4
ORD1323,2025-03-25,Pune,Bike,19.4,60,No,4.1
ORD1324,2025-03-02,Bengaluru,Truck,6.7,48,No,4.7
ORD1325,2025-03-06,Delhi,Truck,19.4,108,Yes,3.2
ORD1326,2025-03-09,Bengaluru,Scooter,35.5,65,No,3.3
ORD1327,2025-03-05,Bengaluru,Scooter,31.4,36,Yes,4.7
ORD1328,2025-03-01,Pune,Van,56.0,108,No,4.0
ORD1329,2025-03-12,Mumbai,Scooter,54.8,106,No,4.0
ORD1330,2025-03-03,Chennai,Bike,12.9,35,No,4.9
ORD1331,2025-03-06,Bengaluru,Bike,26.3,42,Yes,3.6
ORD1332,2025-03-22,Bengaluru,Bike,54.0,54,No,3.5
ORD1333,2025-03-17,Chennai,Scooter,55.2,118,No,4.3
ORD1334,2025-03-09,Mumbai,Truck,32.9,10,No,4.6
ORD1335,2025-03-30,Pune,Scooter,57.6,99,Yes,3.5
ORD1336,2025-03-02,Pune,Truck,28.7,96,Yes,4.4
ORD1337,2025-03-18,Pune,Bike,57.6,58,No,5.0
ORD1338,2025-03-17,Mumbai,Truck,53.5,39,No,3.3
ORD1339,2025-03-04,Pune,Bike,18.3,46,No,3.2
ORD1340,2025-03-25,Delhi,Truck,5.8,101,Yes,3.6
ORD1341,2025-03-28,Hyderabad,Bike,13.0,38,Yes,5.0
ORD1342,2025-03-09,Mumbai,Scooter,25.1,26,No,3.1
ORD1343,2025-03-21,Mumbai,Scooter,24.4,18,Yes,4.3
ORD1344,2025-03-05,Delhi,Scooter,41.1,90,Yes,4.4
ORD1345,2025-03-17,Chennai,Truck,25.3,44,Yes,3.1
ORD1346,2025-03-26,Pune,Truck,20.3,110,Yes,4.5
ORD1347,2025-03-04,Mumbai,Scooter,10.5,56,No,3.6
ORD1348,2025-03-08,Mumbai,Scooter,54.5,42,Yes,4.9
ORD1349,2025-03-29,Bengaluru,Truck,23.2,70,Yes,4.7
ORD1350,2025-03-04,Hyderabad,Van,12.3,96,No,4.9
ORD1351,2025-03-19,Chennai,Scooter,33.4,31,No,4.7
ORD1352,2025-03-30,Bengaluru,Bike,15.2,53,Yes,3.9
ORD1353,2025-03-18,Hyderabad,Bike,57.6,106,Yes,3.7
ORD1354,2025-03-02,Chennai,Bike,8.1,52,No,4.1
ORD1355,2025-03-19,Pune,Scooter,31.1,105,No,4.7
ORD1356,2025-03-18,Hyderabad,Van,35.2,112,Yes,4.5
ORD1357,2025-03-30,Chennai,Truck,17.5,119,Yes,3.2
ORD1358,2025-03-21,Mumbai,Truck,43.8,75,Yes,3.7
ORD1359,2025-03-30,Chennai,Van,56.0,56,No,3.4
ORD1360,2025-03-03,Pune,Truck,17.0,76,Yes,3.6
ORD1361,2025-03-06,Delhi,Bike,35.9,37,Yes,4.5
ORD1362,2025-03-06,Pune,Van,36.5,83,No,4.2
ORD1363,2025-03-13,Pune,Van,37.5,59,Yes,3.7
ORD1364,2025-03-13,Bengaluru,Bike,42.4,102,No,4.2
ORD1365,2025-03-22,Delhi,Truck,2.5,31,No,4.7
ORD1366,2025-03-30,Pune,Van,12.3,110,No,3.5
ORD1367,2025-03-03,Hyderabad,Truck,29.7,28,No,3.9
ORD1368,2025-03-16,Pune,Scooter,18.1,112,Yes,4.2
ORD1369,2025-03-28,Hyderabad,Bike,44.4,112,Yes,3.4
ORD1370,2025-03-22,Delhi,Bike,9.6,86,Yes,3.7
ORD1371,2025-03-08,Chennai,Truck,30.9,91,No,4.6
ORD1372,2025-03-08,Bengaluru,Scooter,38.0,44,Yes,4.9
ORD1373,2025-03-12,Pune,Bike,13.5,110,Yes,4.3
ORD1374,2025-03-23,Mumbai,Scooter,48.9,109,No,3.4
ORD1375,2025-03-18,Bengaluru,Scooter,56.4,60,Yes,4.8
ORD1376,2025-03-07,Bengaluru,Van,46.2,34,No,4.2
ORD1377,2025-03-08,Chennai,Van,29.0,38,Yes,4.4
ORD1378,2025-03-19,Pune,Van,38.9,114,Yes,3.4
ORD1379,2025-03-29,Hyderabad,Bike,49.5,34,Yes,3.0
ORD1380,2025-03-12,Chennai,Van,14.3,108,Yes,3.7
ORD1381,2025-03-20,Chennai,Truck,45.5,113,No,3.3
ORD1382,2025-03-18,Mumbai,Truck,23.3,38,No,3.9
ORD1383,2025-03-10,Hyderabad,Scooter,19.9,104,No,4.2
ORD1384,2025-03-30,Pune,Scooter,36.4,33,Yes,3.6
ORD1385,2025-03-15,Hyderabad,Scooter,50.4,79,Yes,3.4
ORD1386,2025-03-22,Mumbai,Bike,16.9,79,No,3.2
ORD1387,2025-03-10,Bengaluru,Truck,20.6,43,Yes,4.3
ORD1388,2025-03-26,Hyderabad,Bike,51.9,44,No,3.8
